ResponseId,PROLIFIC_PID,ChartType,actual,analogy,actualOverlay,analogyOverlay
R_3QR1YZQLvkFSD1n,67168dec9c8bbf36f6db6cdd,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_3QR1YZQLvkFSD1n_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_3QR1YZQLvkFSD1n_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_3QR1YZQLvkFSD1n_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_3QR1YZQLvkFSD1n_signature.png_analogy_composite.png
R_2EFJWAmpHoDDWkR,666c4699beb014a7b85ccea1,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_2EFJWAmpHoDDWkR_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_2EFJWAmpHoDDWkR_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2EFJWAmpHoDDWkR_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2EFJWAmpHoDDWkR_signature.png_analogy_composite.png
R_5I6HyZ54Dk9kHuZ,6717ad4cd05ccb5a351c73a0,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_5I6HyZ54Dk9kHuZ_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_5I6HyZ54Dk9kHuZ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_5I6HyZ54Dk9kHuZ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_5I6HyZ54Dk9kHuZ_signature.png_analogy_composite.png
R_8fddzXFx5le0ShB,667ac09492ea0caadf488520,Histogram,/Users/h2o/Desktop/finalSketches/HistogramActual/R_8fddzXFx5le0ShB_signature.png,/Users/h2o/Desktop/finalSketches/HistogramAnalogy/R_8fddzXFx5le0ShB_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8fddzXFx5le0ShB_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8fddzXFx5le0ShB_signature.png_analogy_composite.png
R_2RPUiGKMdVkG8fv,6757f3ab9df1c2fad42fa40b,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_2RPUiGKMdVkG8fv_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_2RPUiGKMdVkG8fv_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2RPUiGKMdVkG8fv_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2RPUiGKMdVkG8fv_signature.png_analogy_composite.png
R_2DJ8cYPPRIIdifS,672a528ae534c28289a223d6,Sunburst,/Users/h2o/Desktop/finalSketches/Sunburst Draw/R_2DJ8cYPPRIIdifS_signature.png,/Users/h2o/Desktop/finalSketches/SunburstAnalogy/R_2DJ8cYPPRIIdifS_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2DJ8cYPPRIIdifS_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2DJ8cYPPRIIdifS_signature.png_analogy_composite.png
R_2TpcU74aCOHhhfD,647df23a62de26114fdcb29c,Histogram,/Users/h2o/Desktop/finalSketches/HistogramActual/R_2TpcU74aCOHhhfD_signature.png,/Users/h2o/Desktop/finalSketches/HistogramAnalogy/R_2TpcU74aCOHhhfD_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_2TpcU74aCOHhhfD_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_2TpcU74aCOHhhfD_signature.png_analogy_composite.png
R_2DZfUgp0ApgOYGy,660f0bec13b0a3246eeef533,Heatmap,/Users/h2o/Desktop/finalSketches/HeatmapActual/R_2DZfUgp0ApgOYGy_signature.png,/Users/h2o/Desktop/finalSketches/HeatmapAnalogy/R_2DZfUgp0ApgOYGy_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2DZfUgp0ApgOYGy_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2DZfUgp0ApgOYGy_signature.png_analogy_composite.png
R_3WulcyI3aoCaMQ5,67364a593466be469e0bae8c,BarChart,/Users/h2o/Desktop/finalSketches/BarActual/R_3WulcyI3aoCaMQ5_signature.png,/Users/h2o/Desktop/finalSketches/BarAnalogy/R_3WulcyI3aoCaMQ5_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_3WulcyI3aoCaMQ5_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_3WulcyI3aoCaMQ5_signature.png_analogy_composite.png
R_2pxmwSLpCbZmtbA,5de42a01a7cb2401ccc682c3,BubbleChart,/Users/h2o/Desktop/finalSketches/BubbleActual/R_2pxmwSLpCbZmtbA_signature.png,/Users/h2o/Desktop/finalSketches/BubbleAnalogy/R_2pxmwSLpCbZmtbA_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2pxmwSLpCbZmtbA_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2pxmwSLpCbZmtbA_signature.png_analogy_composite.png
R_8NaH0cOHOJRLMmF,64fb442984935ba5cdab8bd7,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_8NaH0cOHOJRLMmF_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_8NaH0cOHOJRLMmF_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8NaH0cOHOJRLMmF_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8NaH0cOHOJRLMmF_signature.png_analogy_composite.png
R_8UWvEtjAsargNmz,6693df690cbd52bc4cbf870d,BubbleChart,/Users/h2o/Desktop/finalSketches/BubbleActual/R_8UWvEtjAsargNmz_signature.png,/Users/h2o/Desktop/finalSketches/BubbleAnalogy/R_8UWvEtjAsargNmz_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_8UWvEtjAsargNmz_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_8UWvEtjAsargNmz_signature.png_analogy_composite.png
R_2j0UV89V4rsj7DQ,614e0e031468b5dd8104abf5,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_2j0UV89V4rsj7DQ_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_2j0UV89V4rsj7DQ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2j0UV89V4rsj7DQ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2j0UV89V4rsj7DQ_signature.png_analogy_composite.png
R_8B9GUxxJniU36jO,5d430fdf871f1700017b2a81,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_8B9GUxxJniU36jO_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_8B9GUxxJniU36jO_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8B9GUxxJniU36jO_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8B9GUxxJniU36jO_signature.png_analogy_composite.png
R_3M9Le8HeMB1wuM9,676fad27c79cec8770eb4f34,BarChart,/Users/h2o/Desktop/finalSketches/BarActual/R_3M9Le8HeMB1wuM9_signature.png,/Users/h2o/Desktop/finalSketches/BarAnalogy/R_3M9Le8HeMB1wuM9_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_3M9Le8HeMB1wuM9_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_3M9Le8HeMB1wuM9_signature.png_analogy_composite.png
R_8kz7CEp7DEC6kOK,6159ccda0f6f7807b9207e4b,Heatmap,/Users/h2o/Desktop/finalSketches/HeatmapActual/R_8kz7CEp7DEC6kOK_signature.png,/Users/h2o/Desktop/finalSketches/HeatmapAnalogy/R_8kz7CEp7DEC6kOK_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8kz7CEp7DEC6kOK_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8kz7CEp7DEC6kOK_signature.png_analogy_composite.png
R_2puVVqEk1h6WkeJ,66b50f41fbdc96e471bedab1,Histogram,/Users/h2o/Desktop/finalSketches/HistogramActual/R_2puVVqEk1h6WkeJ_signature.png,/Users/h2o/Desktop/finalSketches/HistogramAnalogy/R_2puVVqEk1h6WkeJ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_2puVVqEk1h6WkeJ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_2puVVqEk1h6WkeJ_signature.png_analogy_composite.png
R_2FW0ITr42I4MrMS,67417cd21e7e37b5843c3ac2,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_2FW0ITr42I4MrMS_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_2FW0ITr42I4MrMS_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_2FW0ITr42I4MrMS_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_2FW0ITr42I4MrMS_signature.png_analogy_composite.png
R_89tSqaStaoeIsj4,6026891e02f12c316ba8bcbb,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_89tSqaStaoeIsj4_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_89tSqaStaoeIsj4_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_89tSqaStaoeIsj4_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_89tSqaStaoeIsj4_signature.png_analogy_composite.png
R_8L10FEEAKve6899,6650b4ea2a3f1ad209dc4673,Sunburst,/Users/h2o/Desktop/finalSketches/Sunburst Draw/R_8L10FEEAKve6899_signature.png,/Users/h2o/Desktop/finalSketches/SunburstAnalogy/R_8L10FEEAKve6899_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_8L10FEEAKve6899_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_8L10FEEAKve6899_signature.png_analogy_composite.png
R_8EjmxeXNZBt5zMT,664c8dd7baa052f7b1e88417,Histogram,/Users/h2o/Desktop/finalSketches/HistogramActual/R_8EjmxeXNZBt5zMT_signature.png,/Users/h2o/Desktop/finalSketches/HistogramAnalogy/R_8EjmxeXNZBt5zMT_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8EjmxeXNZBt5zMT_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8EjmxeXNZBt5zMT_signature.png_analogy_composite.png
R_2fC7D5IWHwmedQH,5f97f80e8279d602b5dfd6b1,BubbleChart,/Users/h2o/Desktop/finalSketches/BubbleActual/R_2fC7D5IWHwmedQH_signature.png,/Users/h2o/Desktop/finalSketches/BubbleAnalogy/R_2fC7D5IWHwmedQH_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2fC7D5IWHwmedQH_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2fC7D5IWHwmedQH_signature.png_analogy_composite.png
R_81HQPB36f1JcM3l,673db10b166dd643b96ebcee,ButterflyChart,/Users/h2o/Desktop/finalSketches/ButterflyActual/R_81HQPB36f1JcM3l_signature.png,/Users/h2o/Desktop/finalSketches/ButterflyAnalogy/R_81HQPB36f1JcM3l_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_81HQPB36f1JcM3l_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_81HQPB36f1JcM3l_signature.png_analogy_composite.png
R_87Nec34TVl0H1fz,672ca127c277e5747ef6900b,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_87Nec34TVl0H1fz_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_87Nec34TVl0H1fz_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_87Nec34TVl0H1fz_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_87Nec34TVl0H1fz_signature.png_analogy_composite.png
R_2VwOG3BwKVIeAI1,66a6211743bf2623c0a8eb81,Sunburst,/Users/h2o/Desktop/finalSketches/Sunburst Draw/R_2VwOG3BwKVIeAI1_signature.png,/Users/h2o/Desktop/finalSketches/SunburstAnalogy/R_2VwOG3BwKVIeAI1_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2VwOG3BwKVIeAI1_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2VwOG3BwKVIeAI1_signature.png_analogy_composite.png
R_7SJLHcbaiJbk3Ak,5ddf074601fadfe804d466a2,Sunburst,/Users/h2o/Desktop/finalSketches/Sunburst Draw/R_7SJLHcbaiJbk3Ak_signature.png,/Users/h2o/Desktop/finalSketches/SunburstAnalogy/R_7SJLHcbaiJbk3Ak_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_7SJLHcbaiJbk3Ak_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_7SJLHcbaiJbk3Ak_signature.png_analogy_composite.png
R_8cVTg1VW8Nuq5zj,6511f1f1490c9df9f8c7890e,Histogram,/Users/h2o/Desktop/finalSketches/HistogramActual/R_8cVTg1VW8Nuq5zj_signature.png,/Users/h2o/Desktop/finalSketches/HistogramAnalogy/R_8cVTg1VW8Nuq5zj_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8cVTg1VW8Nuq5zj_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_8cVTg1VW8Nuq5zj_signature.png_analogy_composite.png
R_4nCXfyI48N8HeR5,65dced0d02a94d3dfdc2457d,ButterflyChart,/Users/h2o/Desktop/finalSketches/ButterflyActual/R_4nCXfyI48N8HeR5_signature.png,/Users/h2o/Desktop/finalSketches/ButterflyAnalogy/R_4nCXfyI48N8HeR5_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_4nCXfyI48N8HeR5_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_4nCXfyI48N8HeR5_signature.png_analogy_composite.png
R_5GBlw3M8d8fmLA6,60fe73a3e2f7d5e184ce6539,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_5GBlw3M8d8fmLA6_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_5GBlw3M8d8fmLA6_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_5GBlw3M8d8fmLA6_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_5GBlw3M8d8fmLA6_signature.png_analogy_composite.png
R_2k2UQcdacRfQDu1,5e50325cae58e40871e64747,ButterflyChart,/Users/h2o/Desktop/finalSketches/ButterflyActual/R_2k2UQcdacRfQDu1_signature.png,/Users/h2o/Desktop/finalSketches/ButterflyAnalogy/R_2k2UQcdacRfQDu1_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_2k2UQcdacRfQDu1_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_2k2UQcdacRfQDu1_signature.png_analogy_composite.png
R_1TTWn9A3wCIdO41,6103adf779d6468e50941433,BubbleChart,/Users/h2o/Desktop/finalSketches/BubbleActual/R_1TTWn9A3wCIdO41_signature.png,/Users/h2o/Desktop/finalSketches/BubbleAnalogy/R_1TTWn9A3wCIdO41_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_1TTWn9A3wCIdO41_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_1TTWn9A3wCIdO41_signature.png_analogy_composite.png
